,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
model.model.19.cv2.conv,0.5057,0.46939342180676863,0.4971075339074852,0.4780612912109884,0.47039667146362235,0.6418181122402874,0.5448636064044167,0.607910283839813,0.4937089683055572
model.model.19.m.0.cv1.conv,0.616,0.7528115114569051,0.712935644934343,0.6011470157379246,0.7612560613417729,0.5237844790323639,0.6016556711965668,0.7108493007496461,0.7168612785458288
model.model.19.m.0.cv2.conv,0.4145,0.4114536245705788,0.5005754193772508,0.35705136534795967,0.32357390395316843,0.5497088106830803,0.4386677569043483,0.3009782913731782,0.3842811247392928
model.model.20.conv,0.2712,0.3328294355048843,0.34909950582056326,0.15787062974911178,0.2836407623833924,0.15632887081586547,0.27652431972168745,0.21655596213633588,0.34030552666839675
model.model.22.cv1.conv,0.4128,0.46421916052755463,0.3428523654315848,0.27520320784693286,0.3729794101629302,0.4126001864662054,0.29919326202921726,0.39359657045029184,0.4034408012515792
model.model.22.cv2.conv,0.3752,0.2558344500987284,0.3359162520384947,0.45180424423678023,0.4166165072994368,0.26499708385424164,0.46415205057514886,0.23075708373206924,0.4912388680553416
model.model.22.m.0.cv1.conv,0.2694,0.1491338690564282,0.2227049363299043,0.15750901231411574,0.1737185902239979,0.12889984286049128,0.2141564222096643,0.4030967464735261,0.28066991819077736
model.model.22.m.0.cv2.conv,0.133,0.023307880853268903,0.030459893840276933,0.027565491751218918,0.2124734872208242,0.03931311550990213,0.15171857798005758,0.09961752964045852,0.17282476505053557
model.model.22.m.0.cv3.conv,0.2476,0.381530630489759,0.21542289414991544,0.32846474846546125,0.31790904650442237,0.22767630446743042,0.0972820651440933,0.3787662156013454,0.17274568908879653
model.model.22.m.0.m.0.cv1.conv,0.3235,0.3289707126096812,0.22098906140682784,0.21955797874090255,0.17933047057328794,0.45097912342590063,0.3342357630529024,0.2209156446211805,0.2393004852757954
model.model.22.m.0.m.0.cv2.conv,0.3127,0.4403346115231086,0.3852858123755324,0.364655297432121,0.22908946190567858,0.1699321449813281,0.43805991726073573,0.37900963321108255,0.259797888716581
model.model.22.m.0.m.1.cv1.conv,0.3578,0.36822765025767384,0.46220663217078634,0.3462502055143972,0.4743672601245321,0.45097103612744616,0.41038587013642863,0.3127053080408084,0.3199757606287794
model.model.22.m.0.m.1.cv2.conv,0.296,0.41147886743314144,0.27871312263483655,0.2705560936823893,0.4181488336510619,0.4460457138456608,0.15029800734752438,0.19755604859574807,0.4380384157014756
model.model.23.cv2.0.0.conv,0.0332,0.0,0.08081114097527453,0.014689396552475413,0.11013837228002565,0.11988193651347193,0.0,0.1344073883503072,0.0
model.model.23.cv2.0.1.conv,0.0163,0.12606703589912513,0.0,0.034295003506980073,0.0,0.060735421696885325,0.06070668591864521,0.07201033147164577,0.029437986578738824
model.model.23.cv2.0.2,0.0382,0.059881736186441506,0.045698980420410026,0.0,0.09424258547932333,0.0,0.0,0.12789844682674145,0.032247603990837384
model.model.23.cv2.1.0.conv,0.0895,0.19522306010268223,0.017376790399778033,0.22861745509765494,0.23062840889931838,0.17121501356465496,0.07094876293159189,0.0,0.14532848962695843
model.model.23.cv2.1.1.conv,0.0728,0.21839995187130598,0.1648289660054354,0.06433007607246813,0.06030379294223409,0.19911973787012835,0.0956805790148075,0.08765014995481246,0.2211162106622853
model.model.23.cv2.1.2,0.1313,0.19800272385618375,0.06265349065089916,0.16571997030763927,0.11361074278825706,0.20635145015643053,0.01927731067655461,0.15619343956892517,0.08419912206093338
model.model.23.cv2.2.0.conv,0.1379,0.0510317323692787,0.22931017169360313,0.21526899518310996,0.08218400529782538,0.0509573750815433,0.28676543746861294,0.19927912376591053,0.18691154130059603
model.model.23.cv2.2.1.conv,0.1864,0.13533931859483284,0.2950706746054522,0.23976478499585444,0.050601668078143536,0.15216495039520653,0.24414124127417722,0.06452568521554755,0.20423374042385847
model.model.23.cv2.2.2,0.3628,0.2526573985248529,0.42186506828669723,0.37672063166488057,0.2128661191570992,0.2906790022375405,0.4432754846815905,0.22802828661154215,0.27592885864924205
model.model.23.cv3.0.0.0.conv,0.3433,0.26717241713131346,0.3211380904942932,0.427349694165155,0.22149137184984447,0.41773866884594046,0.4719078336161548,0.2916681383535467,0.2582451856313511
model.model.23.cv3.0.0.1.conv,0.3398,0.378531173595129,0.360570194971115,0.4089814922988039,0.2278838154785753,0.30806209537284346,0.39824454110855423,0.3406739960541938,0.46324817837297827
model.model.23.cv3.0.1.0.conv,0.4462,0.391116039807202,0.5933449309062093,0.524442250826225,0.5069448699217545,0.3394848452347756,0.558526629379177,0.39337400035735853,0.4850187108595573
model.model.23.cv3.0.1.1.conv,0.2928,0.3935017762134653,0.4180349084201429,0.4240586343233041,0.2907032193884169,0.32110205951829573,0.17995383904702103,0.35827371541108755,0.2782988820256022
model.model.23.cv3.0.2,0.9925,0.997,0.997,0.997,0.8977926813836804,0.997,0.997,0.997,0.997
model.model.23.cv3.1.0.0.conv,0.2023,0.055967147743317514,0.2367752978437801,0.1600742199030722,0.15652045734403217,0.25665148780156744,0.14112368210951293,0.2561642103748838,0.2642397195047356
model.model.23.cv3.1.0.1.conv,0.2503,0.2849938217825195,0.3600076321852424,0.3491650217433848,0.13601302770037782,0.34277519402330214,0.19010234491359584,0.1531520599231046,0.3872907213354074
model.model.23.cv3.1.1.0.conv,0.293,0.29725728885025765,0.4336326840424461,0.24374758033086225,0.2923223938369916,0.2574173070262345,0.394294255911314,0.3786607978392531,0.4219210457692807
model.model.23.cv3.1.1.1.conv,0.3252,0.2796652233076452,0.2056307611638978,0.35839474188561926,0.38250345202642877,0.22403524663762342,0.3675320573163193,0.46171553749878486,0.246261625658599
model.model.23.cv3.1.2,0.9891,0.959396855846709,0.997,0.997,0.997,0.8891038778679162,0.997,0.997,0.9289975335177012
model.model.23.cv3.2.0.0.conv,0.2073,0.2228355104235483,0.23439813179041877,0.10331021618314645,0.056956422681742475,0.1276549183355341,0.28545119399286845,0.15752723423923998,0.19084553293223921
model.model.23.cv3.2.0.1.conv,0.1423,0.1030862813074336,0.0,0.20431199580604,0.16874722089932018,0.025984181894868577,0.09702918055449214,0.27840249798761907,0.16481205395820228
model.model.23.cv3.2.1.0.conv,0.2693,0.26634331922147747,0.13529416606741942,0.3648924391079066,0.3792902362697098,0.32256439779879353,0.2553400662791002,0.17646255786694645,0.17780093653079906
model.model.23.cv3.2.1.1.conv,0.2049,0.325435746459244,0.1619636086713705,0.07396299523614902,0.20971390024722766,0.1979187602940731,0.21964943426911016,0.23242281796073608,0.1729087412714218
model.model.23.cv3.2.2,0.997,0.8949946629499689,0.997,0.9237454545489353,0.8931124076547035,0.9379764893302109,0.8961840228199958,0.9062710607799819,0.9141715158870689
model.model.23.dfl.conv,0.9538,0.9469092587834783,0.8475800225621155,0.838083460032362,0.997,0.9081853166380847,0.997,0.9615958897386979,0.997
